"STAGE 6 — COMPONENT DECOMPOSITION (house rules 4+5). Buckets 1-5 summed from data_lineitems (SUMIFS); bucket 6 = observed-minus-modelled MEMO (D39). Reconciliation: buckets must equal the stage-4 all-in total within +/-2 pct (hard stop). Real 2025 USD/MWh. Converted at annual-average market FX. Excludes VAT. E1/E2 are MODELLED, not observed.",,,,,,,,,,,,,,,,,,,
"Structural breaks: UK CfD-ILR 2016, TCR 2023, NCC 2024/2026; DE EEG-to-budget 07/2022, bundeseinheitlich 2023, subsidy 2026; CN 2021-10 market reform, 2026 136-hao — never draw a continuous line through them. CN decomposition 2022+ = Jiangsu representative (D41).",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ctry,Arch,Case,Bucket,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
UK,large,E2,3 Network,5.40582611570125,5.99487842021073,6.83866568682675,7.29649410157104,8.95488366790948,9.86629710987415,10.0786164576634,9.90743116384013,9.85883949137886,10.0773528718649,10.0279248199516,10.6153365797116,9.37204826438275,11.8002353714144,5.1330906486102,5.4700375832651
UK,large,E2,4 System services & balancing,2.51064721503559,3.45547258949764,3.35554470548033,4.01514232708371,4.53024939587169,4.51726377653535,4.70345997232664,4.28155951690193,5.30255020224645,5.90368517383964,7.89684946422478,11.3065944374388,12.6716596708252,18.0334231552139,5.1944517635875,6.9732912
UK,large,E2,5 General taxation & levies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,large,E2,TOTAL modelled (sum buckets),120.78009226586,133.17358266696,129.52213723457,145.690758786115,139.794422239488,135.297959046994,129.71847023728,133.713596159911,132.934600126431,98.9931664010234,89.9081661403725,245.842991347525,153.354899938136,402.675194543962,178.845002080728,118.424690703265
UK,large,E2,REFERENCE — timeseries USD r75,120.78009226586,133.17358266696,129.52213723457,145.690758786115,139.794422239488,135.297959046994,129.71847023728,133.713596159911,132.934600126431,98.9931664010234,89.9081661403725,245.842991347525,153.354899938136,402.675194543962,178.845002080728,118.424690703265
UK,large,E2,RECONCILIATION (total/ref - 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,large,E2,GATE +/-2 pct,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,
UK,medium,E1,leg header,,,,,,,,,,,,,,,,
UK,medium,E1,1 Commodity,105.872321544192,114.237144037052,103.734903592511,113.349524967676,98.1772374858197,87.3221903259366,80.0232526400938,81.0172857765057,103.220627743926,72.972095775755,61.3635542820531,215.645203426073,125.771389291337,371.567822766432,173.083604449036,109.046895556544
UK,medium,E1,2 Gen capital recovery,9.47267992712278,12.1635206835678,18.0243100527009,23.6862268812147,30.4330806934606,35.638821670412,37.2214090594943,42.847711097859,54.5797060423256,59.5194785641035,64.3947347997506,64.4184796181068,45.8345764724595,52.9114896499432,67.2899644124047,59.828134136
UK,medium,E1,3 Network,26.241876516842,27.2954817919639,28.0599905011192,28.8170382240279,32.6025882822143,33.1968665306966,32.9972679870667,32.0464708073262,38.9629693872486,40.9215283322963,38.0503496120891,40.9103301713759,27.3771737487538,19.0845572756248,23.6041450632265,19.2892501671426
UK,medium,E1,4 System services & balancing,2.51064721503559,3.45547258949764,3.35554470548033,4.01514232708371,4.53024939587169,4.51726377653535,4.70345997232664,4.28155951690193,5.30255020224645,5.90368517383964,7.89684946422478,11.3065944374388,12.6716596708252,18.0334231552139,12.9861294089688,17.433228
UK,medium,E1,5 General taxation & levies,10.7224369928826,11.1363160735355,11.3148211665418,11.3273101076336,12.127591286885,11.5012828356109,10.1640409947835,9.61615581494778,9.98832558290689,13.6184469258733,12.9422538911291,12.6737209849799,10.5470146113171,10.1865181816988,10.1659093858089,11.43192336
UK,medium,E1,TOTAL modelled (sum buckets),154.819962196075,168.287935175617,164.489570018354,181.195242507636,177.870747144251,172.176425139191,165.109430653765,169.809183013541,212.054178958653,192.935234771868,184.647742049247,344.954328637974,222.201813794693,471.783811028912,287.129752719445,217.029431219687
UK,medium,E1,REFERENCE — timeseries USD r76,154.819962196075,168.287935175617,164.489570018354,181.195242507636,177.870747144251,172.176425139192,165.109430653765,169.809183013541,212.054178958653,192.935234771868,184.647742049247,344.954328637974,222.201813794693,471.783811028912,287.129752719445,217.029431219687
UK,medium,E1,RECONCILIATION (total/ref - 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,medium,E1,GATE +/-2 pct,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,
UK,medium,E2,leg header,,,,,,,,,,,,,,,,
UK,medium,E2,1 Commodity,105.872321544192,114.237144037052,103.734903592511,113.349524967676,98.1772374858197,87.3221903259366,80.007448665482,80.9260654326181,102.974908426927,72.5911104058637,60.8480186060186,215.164646256908,125.707978324866,371.34297770379,172.561878700575,108.52491460608
UK,medium,E2,2 Gen capital recovery,9.47267992712278,12.1635206835678,18.0243100527009,23.6862268812147,30.4330806934606,35.638821670412,36.8041197199052,40.4952447051278,17.2117764221348,12.1223720995926,12.5614986862562,13.7993354701123,8.54949442005052,10.2019093534767,0,0
UK,medium,E2,3 Network,26.241876516842,27.2954817919639,28.0599905011192,28.8170382240279,32.6025882822143,33.1968665306966,32.9972679870667,32.0464708073262,38.9629693872486,40.9215283322963,38.0503496120891,40.9103301713759,27.3771737487538,19.0845572756248,9.77335525192151,8.04009662365704
UK,medium,E2,4 System services & balancing,2.51064721503559,3.45547258949764,3.35554470548033,4.01514232708371,4.53024939587169,4.51726377653535,4.70345997232664,4.28155951690193,5.30255020224645,5.90368517383964,7.89684946422478,11.3065944374388,12.6716596708252,18.0334231552139,5.1944517635875,6.9732912
UK,medium,E2,5 General taxation & levies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,medium,E2,TOTAL modelled (sum buckets),144.097525203192,157.151619102082,153.174748851812,169.867932400002,165.743155857366,160.675142303581,154.512296344781,157.749340461974,164.452204438556,131.538696011592,119.356716368589,281.180906335835,174.306306164496,418.662867488105,187.529685716084,123.538302429737
UK,medium,E2,REFERENCE — timeseries USD r77,144.097525203192,157.151619102082,153.174748851812,169.867932400002,165.743155857366,160.675142303581,154.512296344781,157.749340461974,164.452204438556,131.538696011592,119.356716368589,281.180906335835,174.306306164496,418.662867488105,187.529685716084,123.538302429737
UK,medium,E2,RECONCILIATION (total/ref - 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,medium,E2,GATE +/-2 pct,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,
DE,large,E1,leg header,,,,,,,,,,,,,,,,
DE,large,E1,1 Commodity,0,99.4940396537283,101.119206632125,90.4859015448774,70.6680170547276,52.8870455020188,46.0407987167041,39.4819641905189,49.08766938572,61.7983879405923,67.8721289692478,56.5026182743477,102.439775326169,341.614602505366,152.689669784404,100.28422
DE,large,E1,2 Gen capital recovery,41.0571656295125,70.9817196728002,65.6696112357015,98.8813266524894,114.743749706317,94.5130026714209,95.3762769895755,109.181998859468,108.871238920284,100.098164408336,105.001675055311,100.48189503565,30.8072559620611,10.8347488516255,10.3384787323113,12.357458
DE,large,E1,3 Network,7.49380555260231,8.12750659596213,8.42509794915481,8.89028571212981,8.43341772105901,8.54195868859196,9.43650725310512,11.2638629981504,16.9950904732813,13.6435024470805,15.7793474239986,15.8298691123095,15.5788996554433,16.4135587495155,34.5050891954611,33.0898355
DE,large,E1,4 System services & balancing,0,0,0.905204424277089,0.927948521360225,1.07184647975996,0.849659248541126,0.752336354772053,0.841233008444305,0.933877759548081,0.782488256063476,0.817758381993347,0.840005591678636,0.623144398007852,0.579841928521487,0.568405340915238,0.599398896
DE,large,E1,5 General taxation & levies,40.1366463300712,40.8743048677642,36.9640466469072,37.6259834010139,37.069968004655,30.8972480134336,30.4463346352398,30.4278295453247,31.0585562471377,28.8975126090817,29.0961657019988,28.8135242443813,23.7558302509781,23.4295729386417,22.7646416769475,23.1773
DE,large,E1,TOTAL modelled (sum buckets),88.6876175121859,219.477570790255,213.083166888165,236.811445831871,231.986998966519,187.688914124007,182.052253949397,191.196888601906,206.946432785971,205.220055661154,218.567075532549,202.467912258367,173.204905592659,392.87232497367,220.866284730039,169.508212396
DE,large,E1,REFERENCE — timeseries USD r80,,219.477570790255,213.083166888165,236.811445831871,231.986998966519,187.688914124007,182.052253949397,191.196888601906,206.946432785971,205.220055661154,218.567075532549,202.467912258367,173.204905592659,392.87232497367,220.86628473004,169.508212396
DE,large,E1,RECONCILIATION (total/ref - 1),n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,large,E1,GATE +/-2 pct,n/a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,
DE,large,E2,leg header,,,,,,,,,,,,,,,,
DE,large,E2,1 Commodity,0,99.4940396537283,101.119206632125,90.4859015448774,70.6680170547276,52.8870455020188,46.0407987167041,39.4819641905189,49.08766938572,61.7983879405923,67.8721289692478,56.5026182743477,102.439775326169,341.614602505366,152.689669784404,100.28422
DE,large,E2,2 Gen capital recovery,0.979255855046264,1.59509482410787,1.80295112675264,2.4863102998284,2.35936060849764,1.89737136403119,1.57221901682268,7.61280546674136,6.3484598000064,10.5158753201829,9.82173008086983,9.82470899845001,9.5255085201483,10.8347488516255,10.3384787323113,12.357458
DE,large,E2,3 Network,0,0,0.842509794915481,0.889028571212981,2.02402025305416,2.05007008526207,2.26476174074523,2.7033271195561,4.07882171358751,3.27444058729931,3.78704338175966,3.79916858695428,3.73893591730638,3.93925409988372,8.28122140691066,7.94156052
DE,large,E2,4 System services & balancing,0,0,0.455324929720829,0.470012772162519,0.620677844776477,0.47361713247519,0.381782184455353,0.470904058612182,0.555872404247552,0.43078438308953,0.463636755522679,0.489323918557995,0.334018561538631,0.294686882268262,0.291342994651901,0.317314196
DE,large,E2,5 General taxation & levies,24.0819877980427,30.6457593081724,27.714019364047,28.2103104816382,27.7934345478803,23.1654000959256,22.827325041153,22.8134507371532,23.286341927732,21.6660862830042,21.8150276507181,21.6031154944459,17.8110785832943,17.5664651739962,0.555235162852379,0.5653
DE,large,E2,TOTAL modelled (sum buckets),25.061243653089,131.734893786009,131.93401184756,122.54156366972,103.465510308936,80.4735041797129,73.0868866998803,73.0824515725818,83.3571652312935,97.6855745141682,103.759566838118,92.2189352727559,133.849316908457,374.24975751314,172.155948081131,121.465852716
DE,large,E2,REFERENCE — timeseries USD r81,,131.734893786009,131.93401184756,122.54156366972,103.465510308936,80.4735041797129,73.0868866998803,73.0824515725818,83.3571652312935,97.6855745141682,103.759566838118,92.2189352727559,133.849316908457,374.24975751314,172.155948081131,121.465852716
DE,large,E2,RECONCILIATION (total/ref - 1),n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,large,E2,GATE +/-2 pct,n/a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
